company_name,domain,state,type
Kaiser Permanente,kaiserpermanente.org,CA,Integrated health system
HCA Healthcare,hcahealthcare.com,TN,For-profit health system
CommonSpirit Health,commonspirit.org,IL,Health system
Ascension,ascension.org,MO,Health system
Advocate Health,advocatehealth.org,NC,Health system
UPMC,upmc.com,PA,Academic health system
Trinity Health,trinity-health.org,MI,Health system
Tenet Healthcare,tenethealth.com,TX,For-profit health system
Community Health Systems,chs.net,TN,For-profit health system
Providence,providence.org,WA,Health system
Sutter Health,sutterhealth.org,CA,Health system
Mass General Brigham,massgeneralbrigham.org,MA,Academic health system
Cleveland Clinic,clevelandclinic.org,OH,Academic health system
Mayo Clinic,mayoclinic.org,MN,Academic health system
Northwell Health,northwell.edu,NY,Health system
Intermountain Health,intermountainhealthcare.org,UT,Health system
UnityPoint Health,unitypoint.org,IA,Health system
Baylor Scott & White Health,bswhealth.com,TX,Health system
Corewell Health,corewellhealth.org,MI,Health system
Banner Health,bannerhealth.com,AZ,Health system
Bon Secours Mercy Health,bsmhealth.org,OH,Health system
Universal Health Services,uhs.com,PA,For-profit health system
Memorial Hermann Health System,memorialhermann.org,TX,Health system
Northwestern Medicine,nm.org,IL,Academic health system
NYU Langone Health,nyulangone.org,NY,Academic health system
NewYork-Presbyterian,nyp.org,NY,Academic health system
Mount Sinai Health System,mountsinai.org,NY,Academic health system
Montefiore Health System,montefiore.org,NY,Academic health system
Penn Medicine,pennmedicine.org,PA,Academic health system
Jefferson Health,jeffersonhealth.org,PA,Academic health system
Geisinger,geisinger.org,PA,Health system
Penn State Health,pennstatehealth.org,PA,Academic health system
Hackensack Meridian Health,hackensackmeridianhealth.org,NJ,Health system
RWJBarnabas Health,rwjbh.org,NJ,Health system
Atlantic Health System,atlantichealth.org,NJ,Health system
Yale New Haven Health,ynhhs.org,CT,Academic health system
Hartford HealthCare,hartfordhealthcare.org,CT,Health system
Beth Israel Lahey Health,bilh.org,MA,Health system
UMass Memorial Health,ummhealth.org,MA,Academic health system
Brown University Health,brownhealth.org,RI,Academic health system
Dartmouth Health,dartmouth-health.org,NH,Academic health system
MaineHealth,mainehealth.org,ME,Health system
University of Vermont Health Network,uvmhealth.org,VT,Academic health system
Inova Health System,inova.org,VA,Health system
Sentara Health,sentara.com,VA,Health system
VCU Health,vcuhealth.org,VA,Academic health system
Carilion Clinic,carilionclinic.org,VA,Health system
MedStar Health,medstarhealth.org,MD,Health system
Johns Hopkins Medicine,hopkinsmedicine.org,MD,Academic health system
University of Maryland Medical System,umms.org,MD,Health system
